"Name" "RA" "Dec"
"M1" "05:34:30.05" "+22:01:00.12"
"M2" "21:33:30.10" "-00:49:00.12"
"M3" "13:42:12.07" "+28:23:00.24"
"M4" "16:23:36.10" "-26:32:00.24"
"M5" "15:18:36.10" "+02:04:59.88"
"M6" "17:40:06.10" "-32:13:00.12"
"M7" "17:53:54.10" "-34:49:00.12"
"M8" "18:03:48.10" "-24:22:59.88"
"M9" "17:19:12.10" "-18:31:00.12"
"M10" "16:57:06.10" "-04:06:00.00"
"M11" "18:51:06.10" "-06:16:00.12"
"M12" "16:47:12.10" "-01:57:00.00"
"M13" "16:41:42.10" "+36:28:00.12"
"M14" "17:37:36.10" "-03:15:00.00"
"M15" "21:30:00.10" "+12:10:00.12"
"M16" "18:18:48.10" "-13:46:59.88"
"M17" "18:20:48.10" "-16:10:59.88"
"M18" "18:19:54.10" "-17:07:59.88"
"M19" "17:02:36.10" "-26:16:00.12"
"M20" "18:02:18.10" "-23:01:59.88"
"M21" "18:04:36.10" "-22:30:00.00"
"M22" "18:36:24.10" "-23:54:00.00"
"M23" "17:56:48.10" "-19:01:00.12"
"M26" "18:45:12.10" "-09:24:00.00"
"M27" "19:59:36.10" "+22:43:00.12"
"M28" "18:24:30.10" "-24:52:00.12"
"M29" "20:23:54.10" "+38:31:59.88"
"M30" "21:40:24.10" "-23:10:59.88"
"M31" "00:42:42.07" "+41:15:59.76"
"M32" "00:42:42.07" "+40:51:59.76"
"M33" "01:33:54.07" "+30:39:00.00"
"M34" "02:42:00.07" "+42:46:59.88"
"M35" "06:08:54.05" "+24:19:59.88"
"M36" "05:36:06.05" "+34:07:59.88"
"M37" "05:52:24.05" "+32:33:00.00"
"M38" "05:28:42.05" "+35:49:59.88"
"M39" "21:32:12.10" "+48:25:59.88"
"M41" "06:47:00.05" "-20:43:59.88"
"M42" "05:35:24.05" "-05:27:00.00"
"M43" "05:35:36.05" "-05:16:00.12"
"M44" "08:40:06.05" "+19:59:00.24"
"M46" "07:41:48.05" "-14:49:00.12"
"M47" "07:36:36.05" "-14:30:00.00"
"M48" "08:13:48.05" "-05:48:00.00"
"M49" "12:29:48.07" "+08:00:00.00"
"M50" "07:03:12.05" "-08:19:59.88"
"M51" "13:29:54.07" "+47:12:00.36"
"M52" "23:24:12.10" "+61:34:59.88"
"M53" "13:12:54.07" "+18:10:00.12"
"M54" "18:55:06.10" "-30:28:59.88"
"M55" "19:40:00.10" "-30:57:59.76"
"M56" "19:16:36.10" "+30:10:59.88"
"M57" "18:53:36.10" "+33:01:59.88"
"M58" "12:37:42.07" "+11:49:00.12"
"M59" "12:42:00.07" "+11:39:00.00"
"M60" "12:43:42.07" "+11:33:00.00"
"M61" "12:21:54.07" "+04:28:00.12"
"M62" "17:01:12.10" "-30:07:00.12"
"M63" "13:15:48.07" "+42:02:00.24"
"M64" "12:56:42.07" "+21:41:00.24"
"M65" "11:18:54.07" "+13:05:00.24"
"M66" "11:20:12.07" "+12:59:00.24"
"M67" "08:50:24.05" "+11:49:00.12"
"M68" "12:39:30.07" "-26:45:00.00"
"M69" "18:31:24.10" "-32:21:00.00"
"M70" "18:43:12.10" "-32:18:00.00"
"M71" "19:53:48.10" "+18:46:59.88"
"M72" "20:53:30.10" "-12:31:59.88"
"M73" "20:59:00.10" "-12:37:59.88"
"M74" "01:36:42.07" "+15:46:59.88"
"M75" "20:06:06.10" "-21:54:59.76"
